Setup	Backend	C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-20260922-181408-340\OracleProject.accdb
Setup	VegConnection	;DATABASE=C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-20260922-181408-340\OracleProject.accdb
Setup	OriginalSampleVegRows	1633
Before	CurrProject	<UNSET>
Before	ProjectPath	<UNSET>
Before	VegRows	1633
Before	EnvRows	52
Before	SuccessionYear	<ABSENT>
Before	SuccessionPlot	<ABSENT>
Before	VegIdentity	1633:-2143555711:2144819739
Activate	CurrProject	Oracle
Activate	CurrProjectFunction	Oracle
Activate	PrecheckSuccessional	False
Convert	Stage	environment schema
Convert	CapturedError	-2147220891:Simulated interruption after Veg year update
After	CurrProject	Sample
After	ProjectPath	C:\Users\sshadmin\AppData\Local\Temp\vpro-succession-20260922-181408-340\VPro64.accdb
After	VegRows	1633
After	EnvRows	52
After	SuccessionYear	type=3;size=2;default=;required=False
After	SuccessionPlot	<ABSENT>
After	VegIdentity	1633:-2143555711:2144819739
After	YearCount	2021:1633
After	SuccessionView	False
After	OriginalSampleVegRows	1633
